date,PENN,KHC,FANG,CHTR,NCLH,CCL,RCL
2017-01-03,1291560000.0,107311780000.0,8301300000.0,78015210000.0,9843417248.28,37905780000.0,16933353000.0
2017-01-04,1342856000.0,106698780000.0,8327028000.0,79593150000.0,10298896709.64,38400140000.0,17060550000.0
2017-01-05,1317208000.0,106085780000.0,8335068000.0,80854410000.0,10248287880.6,39047170000.0,17161500000.0
2017-01-06,1258584000.0,105816060000.0,8334264000.0,81397680000.0,10179275841.0,39003550000.0,17026227000.0
2017-01-09,1214616000.0,105521820000.0,8154972000.0,80878980000.0,10211481459.48,39032630000.0,17070645000.0
2017-01-10,1217364000.0,105325660000.0,8257884000.0,81408600000.0,10402414769.04,39439750000.0,17349267000.0
2017-01-11,1223776000.0,106367760000.0,8354364000.0,81774420000.0,10524336039.0,39665120000.0,17488578000.0
2017-01-12,1232020000.0,107176920000.0,8327028000.0,81132870000.0,10432319986.2,38996280000.0,17341191000.0
2017-01-13,1222860000.0,106698780000.0,8149344000.0,81471390000.0,10340303933.4,38865420000.0,17179671000.0
2017-01-17,1212784000.0,107789920000.0,8075376000.0,83576220000.0,10291995505.68,38649520000.0,17159481000.0
2017-01-18,1203624000.0,108317100000.0,8081808000.0,82907370000.0,10505932828.44,39020800000.0,17264469000.0
2017-01-19,1196296000.0,107704100000.0,8221704000.0,83573490000.0,10494430821.84,38911600000.0,17072664000.0
2017-01-20,1229272000.0,109052700000.0,8290044000.0,84204120000.0,10496731223.16,38802400000.0,17169576000.0
2017-01-23,1254920000.0,108868800000.0,8216076000.0,84275100000.0,10581846072.0,39144560000.0,17153424000.0
2017-01-24,1272324000.0,108733940000.0,8340696000.0,84179550000.0,10775079782.88,39697840000.0,17369457000.0
2017-01-25,1278736000.0,108917840000.0,8451648000.0,84714630000.0,11062629947.88,40644240000.0,17700573000.0
2017-01-26,1251256000.0,109616660000.0,8578680000.0,90949950000.0,11347879711.56,41445040000.0,19309716000.0
2017-01-27,1280568000.0,109641180000.0,8577072000.0,88329150000.0,11276567270.64,40979120000.0,19091664000.0
2017-01-30,1267744000.0,109212080000.0,8241000000.0,88670400000.0,11048827539.96,40505920000.0,19059360000.0
2017-01-31,1262248000.0,109469540000.0,8455668000.0,88438350000.0,10811886204.0,40316640000.0,18903897000.0
2017-02-01,1247592000.0,108390660000.0,8503104000.0,89230050000.0,11060329546.56,40382160000.0,19045227000.0
2017-02-02,1312628000.0,108635860000.0,8412252000.0,88563930000.0,10963712691.12,40265680000.0,18984657000.0
2017-02-03,1294308000.0,109445020000.0,8395368000.0,89737830000.0,10982115901.68,40243840000.0,19083588000.0
2017-02-06,1245760000.0,108746200000.0,8477376000.0,88069800000.0,10931507072.64,40404000000.0,19142139000.0
2017-02-07,1284232000.0,108881060000.0,8049648000.0,88280010000.0,10972914296.4,40367600000.0,19186557000.0
2017-02-08,1284232000.0,109346940000.0,8085024000.0,88924290000.0,11009720717.52,40469520000.0,19174443000.0
2017-02-09,1304384000.0,110070280000.0,8355972000.0,88744110000.0,11055728743.92,40993680000.0,19255203000.0
2017-02-10,1279652000.0,110585200000.0,8425116000.0,88604880000.0,10995918309.6,40950000000.0,19350096000.0
2017-02-13,1261332000.0,111051080000.0,8385720000.0,88184460000.0,11012021118.84,41102880000.0,19483350000.0
2017-02-14,1267301000.0,111333060000.0,10057312000.0,87906000000.0,10918117827.04,41037360000.0,20829016000.0
2017-02-15,1324279000.0,111961900000.0,10445856000.0,88774140000.0,10952401219.84,41117440000.0,20878650000.0
2017-02-16,1314170000.0,107267120000.0,10181534000.0,88577580000.0,10886119993.76,40789840000.0,20701694000.0
2017-02-17,1290276000.0,118782850000.0,10052642000.0,89148150000.0,10899833350.88,40331200000.0,20546318000.0
2017-02-21,1302223000.0,116595230000.0,9978856000.0,88765950000.0,11016396886.4,40687920000.0,20606742000.0
2017-02-22,1315089000.0,114739440000.0,9529602000.0,88763220000.0,11802629361.28,40404000000.0,20706010000.0
2017-02-23,1298547000.0,114223260000.0,9429664000.0,88569390000.0,11583215647.36,40709760000.0,20615374000.0
2017-02-24,1306818000.0,114395320000.0,9378294000.0,89202750000.0,11432368719.04,40789840000.0,20749170000.0
2017-02-27,1329793000.0,111359690000.0,9494110000.0,89197290000.0,11603785683.04,40804400000.0,20865702000.0
2017-02-28,1329793000.0,112465790000.0,9420324000.0,88195380000.0,11587786766.4,40731600000.0,20738380000.0
2017-03-01,1344497000.0,112367470000.0,9873314000.0,88771410000.0,11667781349.6,41132000000.0,20999498000.0
2017-03-02,1337145000.0,112183120000.0,9696788000.0,88438350000.0,11651782432.96,41182960000.0,20971444000.0
