qtr,ticker,mkt_cap
2007_1,A,9769315789.473684
2007_1,AAL,14336102727.272728
2007_1,AAP,4041407263.1578946
2007_1,AAPL,80341150909.09091
2007_1,ABC,9497865000.0
2007_1,ABMD,383278500.0
2007_1,ABT,37920682400.0
2007_1,ACN,32260880000.0
2007_1,ADBE,23697042000.0
2007_1,ADI,12265012545.454546
2007_1,ADM,22689672272.727272
2007_1,ADP,22135952454.545456
2007_1,ADSK,9371550045.454546
2007_1,AEE,10963607200.0
2007_1,AEP,16953805000.0
2007_1,AES,13977826363.636364
2007_1,AFL,23191749000.0
2007_1,AIG,184567210000.0
2007_1,AIZ,6820390526.315789
2007_1,AJG,2823775500.0
2007_1,AKAM,9663250950.0
2007_1,ALB,4033472368.4210525
2007_1,ALGN,916821550.0
2007_1,ALK,1565595681.8181818
2007_1,ALL,37300209090.90909
2007_1,AMAT,26008225772.727272
2007_1,AMD,7568129090.909091
2007_1,AME,3451201600.0
2007_1,AMGN,70217145000.0
2007_1,AMP,13969177272.727272
2007_1,AMT,17512831578.94737
2007_1,AMZN,16624482105.263159
2007_1,ANSS,2013208227.2727273
2007_1,ANTM,48500017500.0
2007_1,AON,11823117600.0
2007_1,AOS,1151619000.0
2007_1,APA,22941039000.0
2007_1,APD,15328083272.727272
2007_1,APH,6170061368.421053
2007_1,ARE,3232824473.6842103
2007_1,ATO,2794490681.818182
2007_1,ATVI,5389516800.0
2007_1,AVB,10405558590.90909
2007_1,AVY,6761747368.421053
2007_1,AXP,71946720000.0
2007_1,AZO,8764577600.0
2007_1,BA,68813955000.0
2007_1,BAC,239848857368.42105
2007_1,BAX,17166620500.0
2007_1,BBWI,11308477950.0
2007_1,BBY,24552271000.0
2007_1,BDX,18622866550.0
2007_1,BEN,30153740909.090908
2007_1,BF-B,8128616850.0
2007_1,BIIB,15260365772.727272
2007_1,BIO,2241159684.2105265
2007_1,BK,30446455150.0
2007_1,BKNG,1959712909.090909
2007_1,BKR,21814389900.0
2007_1,BLK,22024068450.0
2007_1,BLL,4745218100.0
2007_1,BMY,54367396363.63636
2007_1,BR,2790871468.2285714
2007_1,BRK-B,167068017785.51526
2007_1,BRO,4029932736.8421054
2007_1,BSX,25755491473.68421
2007_1,BWA,4337139947.368421
2007_1,BXP,14172144545.454546
2007_1,C,271235265000.0
2007_1,CAG,9715742181.818182
2007_1,CAH,27243338500.0
2007_1,CAT,40488100000.0
2007_1,CB,18323916000.0
2007_1,CBRE,8016157590.909091
2007_1,CCI,8266244789.473684
2007_1,CCL,42521595500.0
2007_1,CDNS,6009191272.727273
2007_1,CE,4394523750.0
2007_1,CERN,4462498909.090909
2007_1,CF,1951339473.6842105
2007_1,CHD,3094418700.0
2007_1,CHRW,7681988400.0
2007_1,CI,13230290000.0
2007_1,CINF,7452434181.818182
2007_1,CL,37153368631.57895
2007_1,CLX,10119696631.578947
2007_1,CMA,9460255954.545454
2007_1,CMCSA,82050939090.90909
2007_1,CME,19210188681.81818
2007_1,CMG,1911558000.0
2007_1,CMI,7062526157.894737
2007_1,CMS,3621230400.0
2007_1,CNC,1011027272.7272727
2007_1,CNP,5691985000.0
2007_1,COF,30996963000.0
2007_1,COO,2170192500.0
2007_1,COP,85603010000.0
2007_1,COST,25640817000.0
2007_1,CPB,15059572500.0
2007_1,CPRT,2636435090.909091
2007_1,CRL,3042921818.181818
2007_1,CRM,5183435227.272727
2007_1,CSCO,171697945263.1579
2007_1,CSX,18006377789.473682
2007_1,CTAS,6691598105.263158
2007_1,CTRA,3245800654.736842
2007_1,CTSH,13716544545.454546
2007_1,CTXS,4669259454.545455
2007_1,CVS,29413900000.0
2007_1,CVX,154343871000.0
2007_1,D,30357136772.727272
2007_1,DD,43908480000.0
2007_1,DE,25478233181.81818
2007_1,DGX,9662467500.0
2007_1,DHI,7402343590.909091
2007_1,DHR,17690219272.727272
2007_1,DIS,74014710000.0
2007_1,DISCA,2407313000.0
2007_1,DISH,19743438636.363636
2007_1,DLR,1720473150.0
2007_1,DLTR,3653376136.3636365
2007_1,DOV,6701077000.0
2007_1,DPZ,1819463100.0
2007_1,DRE,6645728315.789474
2007_1,DRI,5520038210.526316
2007_1,DTE,8315982000.0
2007_1,DUK,23377452000.0
2007_1,DVA,5671504800.0
2007_1,DVN,29896608000.0
2007_1,DXC,4528316100.0
2007_1,DXCM,247518077.952
2007_1,EA,15541709090.90909
2007_1,EBAY,18508091000.0
2007_1,ECL,11224554421.052631
2007_1,ED,12363360000.0
2007_1,EFX,4732476000.0
2007_1,EIX,16154700000.0
2007_1,EL,9831851789.473684
2007_1,EMN,5206713636.363636
2007_1,EMR,34576674681.818184
2007_1,EOG,15703529000.0
2007_1,EQIX,2708611684.2105265
2007_1,EQR,15515739789.473684
2007_1,ES,4472194894.736842
2007_1,ESS,3148156000.0
2007_1,ETN,12405000000.0
2007_1,ETR,20740498772.727272
2007_1,EVRG,2416777631.5789475
2007_1,EW,3161607272.7272725
2007_1,EXC,43278115789.47369
2007_1,EXPD,9616351818.181818
2007_1,EXPE,7243431600.0
2007_1,EXR,1348383210.5263157
2007_1,F,14739540000.0
2007_1,FAST,5575531578.947369
2007_1,FCX,12000399300.0
2007_1,FDX,34068806000.0
2007_1,FE,20078310000.0
2007_1,FFIV,3018533090.909091
2007_1,FIS,8782253000.0
2007_1,FISV,8822873000.0
2007_1,FITB,21963197909.090908
2007_1,FMC,2533253454.5454545
2007_1,FRT,5217148684.210526
2007_1,GD,32002818500.0
2007_1,GE,369061566000.0
2007_1,GILD,29718779200.0
2007_1,GIS,20360524545.454544
2007_1,GL,6422661600.0
2007_1,GLW,35093090909.09091
2007_1,GOOG,145933731048.3158
2007_1,GOOGL,146987854736.8421
2007_1,GPC,8375358409.090909
2007_1,GPN,3248491750.0
2007_1,GPS,14559755909.09091
2007_1,GRMN,11747470500.0
2007_1,GS,100771254736.8421
2007_1,GWW,6864378736.842105
2007_1,HAL,32416045909.090908
2007_1,HAS,5177872227.272727
2007_1,HBAN,5357803636.363636
2007_1,HBI,2747930000.0
2007_1,HD,75498347272.72728
2007_1,HES,16939615454.545454
2007_1,HIG,30745829227.272728
2007_1,HOLX,3089194090.909091
2007_1,HON,35803831818.181816
2007_1,HPQ,53866031000.0
2007_1,HRL,5144978272.727273
2007_1,HSIC,3705288947.368421
2007_1,HST,13628881818.181818
2007_1,HSY,12628404409.09091
2007_1,HUM,9992201818.181818
2007_1,IBM,150917718000.0
2007_1,ICE,9909535263.157894
2007_1,IDXX,2802022363.6363635
2007_1,IEX,2722392545.4545455
2007_1,IFF,4251974772.7272725
2007_1,ILMN,2015112000.0
2007_1,INCY,594860421.0526316
2007_1,INTC,112724730000.0
2007_1,INTU,10064844318.181818
2007_1,IP,15092865600.0
2007_1,IPG,5661444909.090909
2007_1,IPGP,914238545.4545455
2007_1,IR,10750250090.90909
2007_1,IRM,5723391736.842105
2007_1,ISRG,4381998545.454545
2007_1,IT,2422237350.0
2007_1,ITW,28831486318.18182
2007_1,IVZ,10168530157.894737
2007_1,J,5545720090.909091
2007_1,JBHT,3870431684.2105265
2007_1,JCI,28690270909.090908
2007_1,JKHY,2140734272.7272727
2007_1,JNJ,178527478181.81818
2007_1,JNPR,11314379545.454546
2007_1,JPM,171600090909.0909
2007_1,K,19797160210.526318
2007_1,KEY,15828380578.947369
2007_1,KIM,13355379052.631578
2007_1,KLAC,10160517500.0
2007_1,KMB,29915240727.272728
2007_1,KMX,6144104105.263158
2007_1,KO,113046890000.0
2007_1,KR,17230070000.0
2007_1,KSU,3083745000.0
2007_1,L,24411337500.0
2007_1,LDOS,4672972500.0
2007_1,LEG,4283884000.0
2007_1,LEN,7181196590.909091
2007_1,LH,8826188954.545454
2007_1,LHX,6822728526.315789
2007_1,LIN,20232782181.81818
2007_1,LKQ,1183607250.0
2007_1,LLY,57469931590.90909
2007_1,LMT,41422945000.0
2007_1,LNC,18850242272.727272
2007_1,LNT,4707199736.842105
2007_1,LOW,49096265000.0
2007_1,LRCX,6481574842.105263
2007_1,LUV,12714100500.0
2007_1,LVS,30998505000.0
2007_1,LYV,1458768059.9286363
2007_1,MA,14694686631.578947
2007_1,MAA,1455760000.0
2007_1,MAR,18540249750.0
2007_1,MAS,9586598181.818182
2007_1,MCD,54541542650.0
2007_1,MCHP,8066332954.545455
2007_1,MCK,17086802105.263159
2007_1,MCO,20188410550.0
2007_1,MDLZ,51466329090.90909
2007_1,MDT,61594641000.0
2007_1,MET,42159033500.0
2007_1,MGM,20950349473.68421
2007_1,MHK,5328859050.0
2007_1,MKC,5251104736.842105
2007_1,MKTX,479720210.5263158
2007_1,MLM,5702152052.631579
2007_1,MMC,16641363157.894737
2007_1,MMM,58547923200.0
2007_1,MNST,3460517454.5454545
2007_1,MO,185582940000.0
2007_1,MOS,9219786050.0
2007_1,MPWR,401229210.5263158
2007_1,MRK,98377440000.0
2007_1,MRO,18310612500.0
2007_1,MS,86254285263.1579
2007_1,MSFT,273132572727.27274
2007_1,MSI,26781392000.0
2007_1,MTB,13121688000.0
2007_1,MTD,3439210473.6842103
2007_1,MU,8924257590.90909
2007_1,NDAQ,5454992700.0
2007_1,NEE,23615428052.63158
2007_1,NEM,19384841818.18182
2007_1,NFLX,1622430044.8736842
2007_1,NI,2612068421.0526314
2007_1,NKE,27113395909.090908
2007_1,NOC,23791282863.636364
2007_1,NRG,9544743181.818182
2007_1,NSC,19616879454.545456
2007_1,NTAP,15027246789.473684
2007_1,NTRS,13274718545.454546
2007_1,NUE,19136226818.18182
2007_1,NVDA,13217573250.0
2007_1,NVR,4071606500.0
2007_1,NWL,8579783545.454545
2007_1,O,2745573800.0
2007_1,ODFL,663397300.0
2007_1,OKE,4174858800.0
2007_1,OMC,17748261650.0
2007_1,ORCL,91168327727.27272
2007_1,ORLY,3780734800.0
2007_1,OXY,38164452500.0
2007_1,PAYX,15761901210.526316
2007_1,PBCT,6343040000.0
2007_1,PCAR,18051346500.0
2007_1,PEAK,7063012421.052631
2007_1,PEG,16760105250.0
2007_1,PENN,899981315.7894737
2007_1,PEP,105714588636.36363
2007_1,PFE,178862431818.18182
2007_1,PFG,16349808750.0
2007_1,PG,220785524500.0
2007_1,PGR,16386775590.90909
2007_1,PH,9886501909.09091
2007_1,PHM,8201554400.0
2007_1,PKG,2359205200.0
2007_1,PKI,2988646473.6842103
2007_1,PLD,5910929368.421053
2007_1,PNC,22834537526.31579
